==== 3D Bin Packing Problem Test Cases ====

==== Number of Items: 50 ====
---- Test Type: 1 : 100 100 100 ----
Test 1 (Type 1, n=50)
Item-Item3D-60: [W=91, H=95, L=38]
Item-Item3D-61: [W=100, H=8, L=97]
Item-Item3D-62: [W=90, H=52, L=53]
Item-Item3D-63: [W=44, H=32, L=28]
Item-Item3D-64: [W=89, H=90, L=27]
Item-Item3D-65: [W=80, H=70, L=67]
Item-Item3D-66: [W=71, H=79, L=11]
Item-Item3D-67: [W=89, H=90, L=33]
Item-Item3D-68: [W=18, H=89, L=87]
Item-Item3D-69: [W=98, H=86, L=35]
Item-Item3D-70: [W=77, H=94, L=7]
Item-Item3D-71: [W=73, H=93, L=41]
Item-Item3D-72: [W=96, H=76, L=99]
Item-Item3D-73: [W=88, H=78, L=17]
Item-Item3D-74: [W=75, H=6, L=84]
Item-Item3D-75: [W=70, H=93, L=44]
Item-Item3D-76: [W=77, H=71, L=72]
Item-Item3D-77: [W=69, H=68, L=28]
Item-Item3D-78: [W=100, H=91, L=30]
Item-Item3D-79: [W=100, H=70, L=16]
Item-Item3D-80: [W=82, H=60, L=55]
Item-Item3D-81: [W=99, H=93, L=7]
Item-Item3D-82: [W=78, H=95, L=35]
Item-Item3D-83: [W=28, H=24, L=11]
Item-Item3D-84: [W=93, H=87, L=17]
Item-Item3D-85: [W=74, H=83, L=8]
Item-Item3D-86: [W=96, H=37, L=75]
Item-Item3D-87: [W=91, H=83, L=44]
Item-Item3D-88: [W=87, H=68, L=29]
Item-Item3D-89: [W=24, H=77, L=86]
Item-Item3D-90: [W=91, H=73, L=5]
Item-Item3D-91: [W=76, H=18, L=91]
Item-Item3D-92: [W=69, H=87, L=28]
Item-Item3D-93: [W=73, H=92, L=39]
Item-Item3D-94: [W=63, H=82, L=68]
Item-Item3D-95: [W=84, H=4, L=95]
Item-Item3D-96: [W=23, H=100, L=95]
Item-Item3D-97: [W=79, H=86, L=39]
Item-Item3D-98: [W=90, H=80, L=48]
Item-Item3D-99: [W=88, H=81, L=47]
Item-Item3D-100: [W=91, H=85, L=68]

Test 5 (Type 1, n=100)
Item-Item3D-1: [W=66, H=24, L=79]
Item-Item3D-2: [W=79, H=93, L=43]
Item-Item3D-3: [W=71, H=31, L=66]
Item-Item3D-4: [W=86, H=67, L=34]
Item-Item3D-5: [W=93, H=79, L=25]
Item-Item3D-6: [W=37, H=48, L=49]
Item-Item3D-7: [W=88, H=98, L=34]
Item-Item3D-8: [W=82, H=87, L=69]
Item-Item3D-9: [W=7, H=2, L=50]
Item-Item3D-10: [W=33, H=87, L=87]
Item-Item3D-11: [W=86, H=87, L=39]
Item-Item3D-12: [W=75, H=91, L=40]
Item-Item3D-13: [W=91, H=88, L=75]
Item-Item3D-14: [W=90, H=87, L=25]
Item-Item3D-15: [W=90, H=95, L=4]
Item-Item3D-16: [W=76, H=95, L=41]
Item-Item3D-17: [W=69, H=77, L=5]
Item-Item3D-18: [W=95, H=27, L=86]
Item-Item3D-19: [W=84, H=6, L=71]
Item-Item3D-20: [W=99, H=87, L=48]
Item-Item3D-21: [W=75, H=100, L=44]
Item-Item3D-22: [W=71, H=50, L=92]
Item-Item3D-23: [W=78, H=74, L=20]
Item-Item3D-24: [W=90, H=100, L=11]
Item-Item3D-25: [W=28, H=47, L=8]
Item-Item3D-26: [W=1, H=97, L=81]
Item-Item3D-27: [W=95, H=68, L=23]
Item-Item3D-28: [W=82, H=96, L=7]
Item-Item3D-29: [W=91, H=74, L=6]
Item-Item3D-30: [W=80, H=74, L=41]
Item-Item3D-31: [W=92, H=28, L=94]
Item-Item3D-32: [W=70, H=75, L=46]
Item-Item3D-33: [W=88, H=25, L=97]
Item-Item3D-34: [W=97, H=78, L=29]
Item-Item3D-35: [W=83, H=81, L=25]
Item-Item3D-36: [W=81, H=77, L=7]
Item-Item3D-37: [W=91, H=73, L=5]
Item-Item3D-38: [W=32, H=92, L=88]
Item-Item3D-39: [W=91, H=79, L=33]
Item-Item3D-40: [W=85, H=96, L=22]
Item-Item3D-41: [W=14, H=67, L=90]
Item-Item3D-42: [W=35, H=16, L=43]
Item-Item3D-43: [W=70, H=10, L=71]
Item-Item3D-44: [W=99, H=91, L=24]
Item-Item3D-45: [W=35, H=80, L=89]
Item-Item3D-46: [W=76, H=81, L=17]
Item-Item3D-47: [W=96, H=70, L=14]
Item-Item3D-48: [W=70, H=97, L=46]
Item-Item3D-49: [W=86, H=94, L=1]
Item-Item3D-50: [W=73, H=71, L=91]
Item-Item3D-51: [W=72, H=89, L=15]
Item-Item3D-52: [W=91, H=95, L=41]
Item-Item3D-53: [W=38, H=88, L=88]
Item-Item3D-54: [W=75, H=92, L=16]
Item-Item3D-55: [W=66, H=92, L=8]
Item-Item3D-56: [W=60, H=61, L=82]
Item-Item3D-57: [W=67, H=40, L=95]
Item-Item3D-58: [W=81, H=68, L=34]
Item-Item3D-59: [W=76, H=84, L=96]
Item-Item3D-60: [W=75, H=83, L=39]
Item-Item3D-61: [W=86, H=86, L=46]
Item-Item3D-62: [W=70, H=77, L=17]
Item-Item3D-63: [W=90, H=71, L=45]
Item-Item3D-64: [W=46, H=17, L=33]
Item-Item3D-65: [W=86, H=99, L=10]
Item-Item3D-66: [W=93, H=89, L=3]
Item-Item3D-67: [W=98, H=76, L=47]
Item-Item3D-68: [W=87, H=81, L=28]
Item-Item3D-69: [W=27, H=38, L=22]
Item-Item3D-70: [W=68, H=90, L=93]
Item-Item3D-71: [W=46, H=70, L=98]
Item-Item3D-72: [W=67, H=89, L=14]
Item-Item3D-73: [W=73, H=100, L=26]
Item-Item3D-74: [W=90, H=76, L=22]
Item-Item3D-75: [W=20, H=88, L=95]
Item-Item3D-76: [W=70, H=78, L=22]
Item-Item3D-77: [W=2, H=69, L=71]
Item-Item3D-78: [W=99, H=92, L=25]
Item-Item3D-79: [W=85, H=70, L=46]
Item-Item3D-80: [W=66, H=67, L=17]
Item-Item3D-81: [W=89, H=92, L=35]
Item-Item3D-82: [W=81, H=99, L=7]
Item-Item3D-83: [W=95, H=81, L=46]
Item-Item3D-84: [W=71, H=97, L=40]
Item-Item3D-85: [W=94, H=95, L=24]
Item-Item3D-86: [W=77, H=80, L=30]
Item-Item3D-87: [W=47, H=19, L=50]
Item-Item3D-88: [W=77, H=62, L=76]
Item-Item3D-89: [W=83, H=41, L=68]
Item-Item3D-90: [W=50, H=50, L=14]
Item-Item3D-91: [W=92, H=96, L=7]
Item-Item3D-92: [W=24, H=97, L=88]
Item-Item3D-93: [W=12, H=100, L=97]
Item-Item3D-94: [W=39, H=35, L=25]
Item-Item3D-95: [W=72, H=19, L=93]
Item-Item3D-96: [W=99, H=94, L=43]
Item-Item3D-97: [W=77, H=87, L=50]
Item-Item3D-98: [W=68, H=49, L=85]
Item-Item3D-99: [W=85, H=100, L=13]
Item-Item3D-100: [W=26, H=44, L=43]

Test 6 (Type 1, n=100)
Item-Item3D-1: [W=35, H=74, L=66]
Item-Item3D-2: [W=85, H=84, L=8]
Item-Item3D-3: [W=83, H=99, L=5]
Item-Item3D-4: [W=93, H=27, L=94]
Item-Item3D-5: [W=36, H=5, L=34]
Item-Item3D-6: [W=10, H=27, L=50]
Item-Item3D-7: [W=80, H=90, L=13]
Item-Item3D-8: [W=68, H=81, L=49]
Item-Item3D-9: [W=18, H=20, L=39]
Item-Item3D-10: [W=71, H=75, L=30]
Item-Item3D-11: [W=17, H=97, L=92]
Item-Item3D-12: [W=68, H=93, L=23]
Item-Item3D-13: [W=80, H=71, L=27]
Item-Item3D-14: [W=88, H=95, L=89]
Item-Item3D-15: [W=28, H=87, L=83]
Item-Item3D-16: [W=39, H=77, L=79]
Item-Item3D-17: [W=74, H=67, L=29]
Item-Item3D-18: [W=100, H=94, L=20]
Item-Item3D-19: [W=68, H=95, L=34]
Item-Item3D-20: [W=16, H=22, L=39]
Item-Item3D-21: [W=78, H=88, L=14]
Item-Item3D-22: [W=89, H=93, L=35]
Item-Item3D-23: [W=19, H=42, L=8]
Item-Item3D-24: [W=82, H=87, L=7]
Item-Item3D-25: [W=80, H=74, L=44]
Item-Item3D-26: [W=79, H=95, L=45]
Item-Item3D-27: [W=100, H=89, L=21]
Item-Item3D-28: [W=53, H=59, L=77]
Item-Item3D-29: [W=27, H=5, L=6]
Item-Item3D-30: [W=33, H=28, L=39]
Item-Item3D-31: [W=88, H=85, L=16]
Item-Item3D-32: [W=91, H=93, L=28]
Item-Item3D-33: [W=77, H=93, L=25]
Item-Item3D-34: [W=93, H=95, L=46]
Item-Item3D-35: [W=93, H=94, L=16]
Item-Item3D-36: [W=77, H=79, L=30]
Item-Item3D-37: [W=84, H=83, L=14]
Item-Item3D-38: [W=99, H=94, L=36]
Item-Item3D-39: [W=97, H=87, L=1]
Item-Item3D-40: [W=93, H=11, L=87]
Item-Item3D-41: [W=48, H=98, L=98]
Item-Item3D-42: [W=89, H=74, L=6]
Item-Item3D-43: [W=83, H=61, L=60]
Item-Item3D-44: [W=89, H=82, L=21]
Item-Item3D-45: [W=73, H=94, L=43]
Item-Item3D-46: [W=91, H=92, L=25]
Item-Item3D-47: [W=50, H=71, L=75]
Item-Item3D-48: [W=69, H=97, L=81]
Item-Item3D-49: [W=98, H=78, L=23]
Item-Item3D-50: [W=57, H=77, L=83]
Item-Item3D-51: [W=95, H=68, L=43]
Item-Item3D-52: [W=86, H=76, L=18]
Item-Item3D-53: [W=96, H=74, L=37]
Item-Item3D-54: [W=70, H=97, L=45]
Item-Item3D-55: [W=68, H=82, L=41]
Item-Item3D-56: [W=93, H=100, L=46]
Item-Item3D-57: [W=80, H=93, L=11]
Item-Item3D-58: [W=11, H=48, L=47]
Item-Item3D-59: [W=73, H=91, L=22]
Item-Item3D-60: [W=71, H=80, L=9]
Item-Item3D-61: [W=69, H=12, L=70]
Item-Item3D-62: [W=73, H=94, L=33]
Item-Item3D-63: [W=4, H=24, L=46]
Item-Item3D-64: [W=27, H=70, L=79]
Item-Item3D-65: [W=21, H=23, L=20]
Item-Item3D-66: [W=51, H=68, L=85]
Item-Item3D-67: [W=87, H=78, L=12]
Item-Item3D-68: [W=75, H=75, L=16]
Item-Item3D-69: [W=98, H=76, L=38]
Item-Item3D-70: [W=84, H=7, L=70]
Item-Item3D-71: [W=23, H=14, L=21]
Item-Item3D-72: [W=19, H=28, L=31]
Item-Item3D-73: [W=84, H=27, L=89]
Item-Item3D-74: [W=84, H=64, L=73]
Item-Item3D-75: [W=13, H=22, L=42]
Item-Item3D-76: [W=78, H=20, L=88]
Item-Item3D-77: [W=90, H=74, L=64]
Item-Item3D-78: [W=93, H=81, L=21]
Item-Item3D-79: [W=25, H=24, L=33]
Item-Item3D-80: [W=85, H=79, L=24]
Item-Item3D-81: [W=67, H=16, L=86]
Item-Item3D-82: [W=90, H=66, L=46]
Item-Item3D-83: [W=96, H=100, L=8]
Item-Item3D-84: [W=95, H=69, L=12]
Item-Item3D-85: [W=44, H=26, L=47]
Item-Item3D-86: [W=69, H=83, L=33]
Item-Item3D-87: [W=95, H=82, L=15]
Item-Item3D-88: [W=91, H=54, L=67]
Item-Item3D-89: [W=83, H=100, L=48]
Item-Item3D-90: [W=96, H=66, L=47]
Item-Item3D-91: [W=43, H=21, L=8]
Item-Item3D-92: [W=88, H=92, L=50]
Item-Item3D-93: [W=91, H=89, L=7]
Item-Item3D-94: [W=100, H=94, L=28]
Item-Item3D-95: [W=68, H=84, L=43]
Item-Item3D-96: [W=66, H=42, L=73]
Item-Item3D-97: [W=82, H=96, L=15]
Item-Item3D-98: [W=76, H=93, L=19]
Item-Item3D-99: [W=53, H=83, L=95]
Item-Item3D-100: [W=96, H=44, L=73]

Test 7 (Type 1, n=100)
Item-Item3D-1: [W=67, H=71, L=48]
Item-Item3D-2: [W=72, H=90, L=16]
Item-Item3D-3: [W=70, H=86, L=49]
Item-Item3D-4: [W=72, H=59, L=87]
Item-Item3D-5: [W=90, H=73, L=29]
Item-Item3D-6: [W=27, H=67, L=96]
Item-Item3D-7: [W=21, H=95, L=91]
Item-Item3D-8: [W=79, H=85, L=33]
Item-Item3D-9: [W=81, H=90, L=30]
Item-Item3D-10: [W=85, H=81, L=16]
Item-Item3D-11: [W=100, H=97, L=50]
Item-Item3D-12: [W=20, H=78, L=94]
Item-Item3D-13: [W=71, H=87, L=49]
Item-Item3D-14: [W=50, H=74, L=78]
Item-Item3D-15: [W=100, H=68, L=38]
Item-Item3D-16: [W=67, H=60, L=87]
Item-Item3D-17: [W=74, H=68, L=24]
Item-Item3D-18: [W=79, H=44, L=70]
Item-Item3D-19: [W=86, H=66, L=45]
Item-Item3D-20: [W=80, H=79, L=32]
Item-Item3D-21: [W=71, H=78, L=1]
Item-Item3D-22: [W=74, H=83, L=32]
Item-Item3D-23: [W=14, H=75, L=90]
Item-Item3D-24: [W=73, H=95, L=20]
Item-Item3D-25: [W=74, H=62, L=100]
Item-Item3D-26: [W=8, H=10, L=5]
Item-Item3D-27: [W=70, H=33, L=82]
Item-Item3D-28: [W=75, H=88, L=41]
Item-Item3D-29: [W=82, H=78, L=35]
Item-Item3D-30: [W=87, H=86, L=6]
Item-Item3D-31: [W=77, H=96, L=10]
Item-Item3D-32: [W=78, H=96, L=37]
Item-Item3D-33: [W=31, H=18, L=25]
Item-Item3D-34: [W=89, H=76, L=5]
Item-Item3D-35: [W=90, H=87, L=2]
Item-Item3D-36: [W=84, H=18, L=89]
Item-Item3D-37: [W=96, H=40, L=71]
Item-Item3D-38: [W=87, H=75, L=37]
Item-Item3D-39: [W=82, H=77, L=10]
Item-Item3D-40: [W=85, H=83, L=18]
Item-Item3D-41: [W=67, H=86, L=88]
Item-Item3D-42: [W=63, H=56, L=59]
Item-Item3D-43: [W=74, H=42, L=69]
Item-Item3D-44: [W=41, H=80, L=68]
Item-Item3D-45: [W=94, H=79, L=39]
Item-Item3D-46: [W=87, H=97, L=38]
Item-Item3D-47: [W=97, H=30, L=92]
Item-Item3D-48: [W=70, H=88, L=25]
Item-Item3D-49: [W=89, H=94, L=16]
Item-Item3D-50: [W=91, H=4, L=91]
Item-Item3D-51: [W=50, H=73, L=98]
Item-Item3D-52: [W=89, H=86, L=41]
Item-Item3D-53: [W=72, H=83, L=65]
Item-Item3D-54: [W=4, H=7, L=1]
Item-Item3D-55: [W=86, H=90, L=17]
Item-Item3D-56: [W=41, H=26, L=32]
Item-Item3D-57: [W=76, H=11, L=72]
Item-Item3D-58: [W=50, H=77, L=77]
Item-Item3D-59: [W=81, H=73, L=16]
Item-Item3D-60: [W=89, H=75, L=19]
Item-Item3D-61: [W=61, H=100, L=97]
Item-Item3D-62: [W=11, H=72, L=78]
Item-Item3D-63: [W=83, H=98, L=14]
Item-Item3D-64: [W=98, H=79, L=9]
Item-Item3D-65: [W=36, H=24, L=17]
Item-Item3D-66: [W=99, H=67, L=36]
Item-Item3D-67: [W=98, H=70, L=8]
Item-Item3D-68: [W=83, H=92, L=20]
Item-Item3D-69: [W=94, H=75, L=44]
Item-Item3D-70: [W=95, H=89, L=25]
Item-Item3D-71: [W=77, H=86, L=4]
Item-Item3D-72: [W=48, H=49, L=16]
Item-Item3D-73: [W=72, H=97, L=16]
Item-Item3D-74: [W=69, H=98, L=67]
Item-Item3D-75: [W=100, H=21, L=97]
Item-Item3D-76: [W=76, H=94, L=27]
Item-Item3D-77: [W=72, H=73, L=19]
Item-Item3D-78: [W=66, H=85, L=58]
Item-Item3D-79: [W=100, H=72, L=14]
Item-Item3D-80: [W=73, H=86, L=12]
Item-Item3D-81: [W=69, H=70, L=6]
Item-Item3D-82: [W=7, H=88, L=95]
Item-Item3D-83: [W=96, H=94, L=20]
Item-Item3D-84: [W=31, H=97, L=78]
Item-Item3D-85: [W=47, H=35, L=26]
Item-Item3D-86: [W=26, H=14, L=40]
Item-Item3D-87: [W=68, H=79, L=18]
Item-Item3D-88: [W=78, H=67, L=9]
Item-Item3D-89: [W=77, H=97, L=14]
Item-Item3D-90: [W=80, H=35, L=75]
Item-Item3D-91: [W=71, H=100, L=11]
Item-Item3D-92: [W=66, H=83, L=66]
Item-Item3D-93: [W=72, H=51, L=85]
Item-Item3D-94: [W=76, H=14, L=71]
Item-Item3D-95: [W=93, H=16, L=70]
Item-Item3D-96: [W=84, H=72, L=23]
Item-Item3D-97: [W=79, H=75, L=6]
Item-Item3D-98: [W=94, H=88, L=40]
Item-Item3D-99: [W=99, H=66, L=67]
Item-Item3D-100: [W=88, H=29, L=76]

Test 8 (Type 1, n=100)
Item-Item3D-1: [W=81, H=73, L=13]
Item-Item3D-2: [W=96, H=72, L=19]
Item-Item3D-3: [W=30, H=50, L=27]
Item-Item3D-4: [W=79, H=74, L=41]
Item-Item3D-5: [W=100, H=80, L=23]
Item-Item3D-6: [W=16, H=74, L=94]
Item-Item3D-7: [W=40, H=93, L=94]
Item-Item3D-8: [W=77, H=81, L=53]
Item-Item3D-9: [W=84, H=74, L=13]
Item-Item3D-10: [W=79, H=38, L=93]
Item-Item3D-11: [W=99, H=100, L=1]
Item-Item3D-12: [W=10, H=78, L=74]
Item-Item3D-13: [W=100, H=19, L=78]
Item-Item3D-14: [W=91, H=96, L=17]
Item-Item3D-15: [W=80, H=12, L=78]
Item-Item3D-16: [W=99, H=15, L=85]
Item-Item3D-17: [W=81, H=98, L=25]
Item-Item3D-18: [W=93, H=47, L=68]
Item-Item3D-19: [W=72, H=100, L=34]
Item-Item3D-20: [W=87, H=19, L=83]
Item-Item3D-21: [W=2, H=31, L=8]
Item-Item3D-22: [W=25, H=67, L=99]
Item-Item3D-23: [W=9, H=94, L=71]
Item-Item3D-24: [W=96, H=83, L=30]
Item-Item3D-25: [W=88, H=82, L=29]
Item-Item3D-26: [W=75, H=85, L=2]
Item-Item3D-27: [W=42, H=74, L=98]
Item-Item3D-28: [W=91, H=96, L=1]
Item-Item3D-29: [W=33, H=28, L=28]
Item-Item3D-30: [W=75, H=67, L=34]
Item-Item3D-31: [W=13, H=10, L=3]
Item-Item3D-32: [W=99, H=84, L=22]
Item-Item3D-33: [W=96, H=92, L=45]
Item-Item3D-34: [W=47, H=4, L=37]
Item-Item3D-35: [W=80, H=79, L=4]
Item-Item3D-36: [W=60, H=90, L=92]
Item-Item3D-37: [W=74, H=72, L=44]
Item-Item3D-38: [W=94, H=45, L=77]
Item-Item3D-39: [W=87, H=84, L=47]
Item-Item3D-40: [W=73, H=90, L=3]
Item-Item3D-41: [W=13, H=89, L=71]
Item-Item3D-42: [W=97, H=79, L=1]
Item-Item3D-43: [W=68, H=71, L=14]
Item-Item3D-44: [W=70, H=95, L=18]
Item-Item3D-45: [W=77, H=61, L=82]
Item-Item3D-46: [W=68, H=95, L=32]
Item-Item3D-47: [W=30, H=77, L=89]
Item-Item3D-48: [W=89, H=95, L=32]
Item-Item3D-49: [W=97, H=85, L=13]
Item-Item3D-50: [W=81, H=100, L=33]
Item-Item3D-51: [W=66, H=72, L=38]
Item-Item3D-52: [W=94, H=75, L=83]
Item-Item3D-53: [W=80, H=93, L=44]
Item-Item3D-54: [W=57, H=87, L=98]
Item-Item3D-55: [W=89, H=90, L=33]
Item-Item3D-56: [W=85, H=30, L=83]
Item-Item3D-57: [W=46, H=67, L=84]
Item-Item3D-58: [W=71, H=5, L=69]
Item-Item3D-59: [W=91, H=12, L=75]
Item-Item3D-60: [W=81, H=4, L=83]
Item-Item3D-61: [W=96, H=32, L=75]
Item-Item3D-62: [W=85, H=78, L=8]
Item-Item3D-63: [W=76, H=74, L=24]
Item-Item3D-64: [W=67, H=11, L=83]
Item-Item3D-65: [W=70, H=93, L=32]
Item-Item3D-66: [W=67, H=99, L=23]
Item-Item3D-67: [W=13, H=28, L=24]
Item-Item3D-68: [W=89, H=67, L=5]
Item-Item3D-69: [W=93, H=89, L=24]
Item-Item3D-70: [W=84, H=5, L=97]
Item-Item3D-71: [W=73, H=92, L=31]
Item-Item3D-72: [W=88, H=69, L=39]
Item-Item3D-73: [W=89, H=90, L=7]
Item-Item3D-74: [W=88, H=85, L=95]
Item-Item3D-75: [W=71, H=83, L=50]
Item-Item3D-76: [W=6, H=4, L=7]
Item-Item3D-77: [W=78, H=95, L=35]
Item-Item3D-78: [W=96, H=11, L=75]
Item-Item3D-79: [W=75, H=84, L=41]
Item-Item3D-80: [W=92, H=8, L=78]
Item-Item3D-81: [W=59, H=79, L=79]
Item-Item3D-82: [W=83, H=86, L=3]
Item-Item3D-83: [W=90, H=74, L=46]
Item-Item3D-84: [W=98, H=72, L=26]
Item-Item3D-85: [W=68, H=79, L=21]
Item-Item3D-86: [W=93, H=78, L=36]
Item-Item3D-87: [W=35, H=100, L=70]
Item-Item3D-88: [W=13, H=34, L=26]
Item-Item3D-89: [W=68, H=71, L=9]
Item-Item3D-90: [W=68, H=75, L=7]
Item-Item3D-91: [W=49, H=70, L=97]
Item-Item3D-92: [W=23, H=46, L=8]
Item-Item3D-93: [W=75, H=11, L=97]
Item-Item3D-94: [W=85, H=76, L=37]
Item-Item3D-95: [W=82, H=18, L=83]
Item-Item3D-96: [W=93, H=69, L=2]
Item-Item3D-97: [W=74, H=83, L=2]
Item-Item3D-98: [W=91, H=53, L=79]
Item-Item3D-99: [W=33, H=43, L=36]
Item-Item3D-100: [W=61, H=81, L=88]

Test 9 (Type 1, n=100)
Item-Item3D-1: [W=82, H=32, L=84]
Item-Item3D-2: [W=85, H=67, L=3]
Item-Item3D-3: [W=72, H=78, L=27]
Item-Item3D-4: [W=61, H=95, L=55]
Item-Item3D-5: [W=71, H=100, L=42]
Item-Item3D-6: [W=77, H=72, L=7]
Item-Item3D-7: [W=93, H=63, L=54]
Item-Item3D-8: [W=69, H=73, L=2]
Item-Item3D-9: [W=38, H=94, L=77]
Item-Item3D-10: [W=81, H=96, L=46]
Item-Item3D-11: [W=78, H=15, L=98]
Item-Item3D-12: [W=74, H=78, L=5]
Item-Item3D-13: [W=40, H=49, L=48]
Item-Item3D-14: [W=85, H=76, L=43]
Item-Item3D-15: [W=100, H=83, L=17]
Item-Item3D-16: [W=100, H=83, L=35]
Item-Item3D-17: [W=84, H=72, L=19]
Item-Item3D-18: [W=82, H=17, L=78]
Item-Item3D-19: [W=28, H=96, L=74]
Item-Item3D-20: [W=85, H=92, L=43]
Item-Item3D-21: [W=12, H=17, L=21]
Item-Item3D-22: [W=95, H=72, L=4]
Item-Item3D-23: [W=36, H=14, L=3]
Item-Item3D-24: [W=88, H=92, L=24]
Item-Item3D-25: [W=92, H=85, L=12]
Item-Item3D-26: [W=96, H=64, L=82]
Item-Item3D-27: [W=87, H=92, L=40]
Item-Item3D-28: [W=30, H=81, L=66]
Item-Item3D-29: [W=74, H=65, L=73]
Item-Item3D-30: [W=2, H=17, L=50]
Item-Item3D-31: [W=88, H=81, L=13]
Item-Item3D-32: [W=79, H=67, L=14]
Item-Item3D-33: [W=89, H=29, L=96]
Item-Item3D-34: [W=75, H=70, L=13]
Item-Item3D-35: [W=36, H=49, L=14]
Item-Item3D-36: [W=66, H=89, L=6]
Item-Item3D-37: [W=80, H=98, L=66]
Item-Item3D-38: [W=86, H=44, L=77]
Item-Item3D-39: [W=92, H=35, L=85]
Item-Item3D-40: [W=3, H=40, L=4]
Item-Item3D-41: [W=93, H=84, L=37]
Item-Item3D-42: [W=74, H=83, L=45]
Item-Item3D-43: [W=27, H=74, L=97]
Item-Item3D-44: [W=89, H=79, L=47]
Item-Item3D-45: [W=70, H=80, L=15]
Item-Item3D-46: [W=70, H=95, L=15]
Item-Item3D-47: [W=31, H=87, L=94]
Item-Item3D-48: [W=70, H=70, L=24]
Item-Item3D-49: [W=73, H=85, L=29]
Item-Item3D-50: [W=97, H=26, L=73]
Item-Item3D-51: [W=97, H=80, L=44]
Item-Item3D-52: [W=91, H=69, L=43]
Item-Item3D-53: [W=25, H=95, L=72]
Item-Item3D-54: [W=96, H=68, L=24]
Item-Item3D-55: [W=50, H=57, L=87]
Item-Item3D-56: [W=33, H=86, L=91]
Item-Item3D-57: [W=4, H=97, L=95]
Item-Item3D-58: [W=76, H=80, L=42]
Item-Item3D-59: [W=94, H=82, L=44]
Item-Item3D-60: [W=68, H=67, L=20]
Item-Item3D-61: [W=79, H=97, L=13]
Item-Item3D-62: [W=69, H=37, L=79]
Item-Item3D-63: [W=48, H=73, L=80]
Item-Item3D-64: [W=99, H=94, L=26]
Item-Item3D-65: [W=1, H=75, L=93]
Item-Item3D-66: [W=95, H=74, L=50]
Item-Item3D-67: [W=86, H=100, L=61]
Item-Item3D-68: [W=70, H=91, L=21]
Item-Item3D-69: [W=66, H=98, L=34]
Item-Item3D-70: [W=87, H=80, L=37]
Item-Item3D-71: [W=43, H=22, L=23]
Item-Item3D-72: [W=94, H=87, L=42]
Item-Item3D-73: [W=100, H=60, L=92]
Item-Item3D-74: [W=75, H=79, L=24]
Item-Item3D-75: [W=81, H=89, L=9]
Item-Item3D-76: [W=87, H=12, L=80]
Item-Item3D-77: [W=71, H=80, L=35]
Item-Item3D-78: [W=89, H=95, L=49]
Item-Item3D-79: [W=91, H=94, L=30]
Item-Item3D-80: [W=98, H=14, L=74]
Item-Item3D-81: [W=90, H=71, L=19]
Item-Item3D-82: [W=98, H=68, L=2]
Item-Item3D-83: [W=33, H=98, L=81]
Item-Item3D-84: [W=86, H=100, L=24]
Item-Item3D-85: [W=94, H=83, L=7]
Item-Item3D-86: [W=61, H=62, L=99]
Item-Item3D-87: [W=90, H=91, L=93]
Item-Item3D-88: [W=100, H=89, L=34]
Item-Item3D-89: [W=83, H=100, L=37]
Item-Item3D-90: [W=73, H=34, L=79]
Item-Item3D-91: [W=10, H=17, L=8]
Item-Item3D-92: [W=37, H=34, L=14]
Item-Item3D-93: [W=71, H=80, L=26]
Item-Item3D-94: [W=85, H=75, L=28]
Item-Item3D-95: [W=68, H=89, L=23]
Item-Item3D-96: [W=94, H=80, L=10]
Item-Item3D-97: [W=91, H=76, L=9]
Item-Item3D-98: [W=43, H=5, L=47]
Item-Item3D-99: [W=75, H=85, L=24]
Item-Item3D-100: [W=84, H=68, L=35]

Test 10 (Type 1, n=100)
Item-Item3D-1: [W=62, H=57, L=69]
Item-Item3D-2: [W=93, H=92, L=30]
Item-Item3D-3: [W=88, H=84, L=5]
Item-Item3D-4: [W=88, H=100, L=5]
Item-Item3D-5: [W=93, H=80, L=13]
Item-Item3D-6: [W=87, H=26, L=77]
Item-Item3D-7: [W=7, H=22, L=45]
Item-Item3D-8: [W=57, H=83, L=99]
Item-Item3D-9: [W=3, H=37, L=12]
Item-Item3D-10: [W=80, H=74, L=81]
Item-Item3D-11: [W=100, H=97, L=4]
Item-Item3D-12: [W=99, H=77, L=46]
Item-Item3D-13: [W=81, H=19, L=87]
Item-Item3D-14: [W=58, H=81, L=85]
Item-Item3D-15: [W=19, H=6, L=25]
Item-Item3D-16: [W=73, H=44, L=87]
Item-Item3D-17: [W=28, H=9, L=17]
Item-Item3D-18: [W=79, H=91, L=19]
Item-Item3D-19: [W=33, H=46, L=47]
Item-Item3D-20: [W=90, H=79, L=2]
Item-Item3D-21: [W=96, H=68, L=37]
Item-Item3D-22: [W=78, H=84, L=23]
Item-Item3D-23: [W=97, H=46, L=97]
Item-Item3D-24: [W=11, H=27, L=46]
Item-Item3D-25: [W=72, H=74, L=2]
Item-Item3D-26: [W=98, H=93, L=15]
Item-Item3D-27: [W=81, H=36, L=85]
Item-Item3D-28: [W=83, H=92, L=4]
Item-Item3D-29: [W=74, H=59, L=80]
Item-Item3D-30: [W=78, H=69, L=31]
Item-Item3D-31: [W=98, H=68, L=62]
Item-Item3D-32: [W=69, H=89, L=44]
Item-Item3D-33: [W=29, H=30, L=41]
Item-Item3D-34: [W=93, H=79, L=47]
Item-Item3D-35: [W=36, H=43, L=18]
